,Date,Résidus
3027,2020-08-14,-712.6244077101655
3028,2020-08-15,460.5687618876327
3029,2020-08-16,301.57004090811824
3030,2020-08-17,-1393.9966917937927
3031,2020-08-18,-1213.1375812957922
3032,2020-08-19,-603.4835830135125
3033,2020-08-20,832.3746102206787
3034,2020-08-21,1820.342381647235
3035,2020-08-22,1712.72192733884
3036,2020-08-23,473.43538308137795
3037,2020-08-24,135.3136209639706
3038,2020-08-25,686.5154581236784
3039,2020-08-26,717.5316791941514
3040,2020-08-27,916.849249773586
3041,2020-08-28,1127.406608831734
3042,2020-08-29,347.494226921488
3043,2020-08-30,400.977898664074
3044,2020-08-31,-186.41195184973913
3045,2020-09-01,-347.6602137986192
3046,2020-09-02,-197.46188499715208
3047,2020-09-03,-43.55635110327421
3048,2020-09-04,988.7297282925938
3049,2020-09-05,406.38510024793504
3050,2020-09-06,-3.0603813849375
3051,2020-09-07,-692.2437753192135
3052,2020-09-08,-555.5460724914956
3053,2020-09-09,91.91615789011121
3054,2020-09-10,-124.04015862727829
3055,2020-09-11,337.79604245343216
3056,2020-09-12,246.9363272648552
3057,2020-09-13,-451.57772975108674
3058,2020-09-14,681.1213373762439
3059,2020-09-15,930.1538359916012
3060,2020-09-16,842.9052755160083
3061,2020-09-17,-273.30054553368245
3062,2020-09-18,38.263095774258545
3063,2020-09-19,278.63614773184963
3064,2020-09-20,-924.5948535977004
3065,2020-09-21,-1463.997157048303
3066,2020-09-22,-1898.861242347608
3067,2020-09-23,-1680.1850225584203
3068,2020-09-24,-1772.9975136654903
3069,2020-09-25,65.10882589335233
3070,2020-09-26,2162.891179862847
3071,2020-09-27,4513.692257335097
3072,2020-09-28,4014.7421583214164
3073,2020-09-29,2168.590865952079
3074,2020-09-30,519.1256668360802
3075,2020-10-01,975.2487758252028
3076,2020-10-02,3535.345951723335
3077,2020-10-03,4432.200189869611
3078,2020-10-04,4677.227860317682
3079,2020-10-05,4701.780472435654
3080,2020-10-06,3451.576709708621
3081,2020-10-07,2376.7190384591595
3082,2020-10-08,858.3701715220886
3083,2020-10-09,1018.2201807868769
3084,2020-10-10,1968.398354437275
3085,2020-10-11,4411.707179972378
3086,2020-10-12,5204.921648570751
3087,2020-10-13,5394.218541586357
3088,2020-10-14,5803.190022048468
3089,2020-10-15,7448.516833372327
3090,2020-10-16,7580.431922224903
3091,2020-10-17,5679.628606104008
3092,2020-10-18,4730.490692960942
3093,2020-10-19,5905.387776003772
3094,2020-10-20,2142.1003931760133
3095,2020-10-21,-1406.170596189535
3096,2020-10-22,-2202.1350849992887
3097,2020-10-23,-1477.9543945420082
3098,2020-10-24,-1949.3374015010413
3099,2020-10-25,-0.3146773811095045
3100,2020-10-26,2729.0526137242923
3101,2020-10-27,2680.0937790404714
3102,2020-10-28,416.53400507929473
3103,2020-10-29,-3135.8405287614587
